"ID"	"RPPA Subtypes"
"BCK4-I"	"Lum"
"HCC2185-I"	"Basal"
"IPH926-I"	"HER2"
"MDAMB330-I"	"Lum/HER2"
"SUM44PE-I"	"Lum"
"UACC3133-I"	"Lum"
"MDAMB134VI-I"	"Lum"
"600MPE-I"	"Basal"
"CAMA1-I"	"Lum"
"HCC1187-I"	"Basal"
"HCC2218-I"	"Lum/HER2"
"MDAMB453-I"	"Lum/HER2"
"MDAMB468-I"	"Basal"
"OCUBM-I"	"Basal"
"SKBR3-I"	"HER2"
"MDAMB134VI-C"	"Lum"
"CAMA1-C"	"Lum"
"HCC1187-C"	"Basal"
"HCC2218-C"	"Lum/HER2"
"MDAMB453-C"	"Lum/HER2"
"MDAMB468-C"	"Basal"
"SKBR3-C"	"HER2"
"ZR7530-C"	"Lum/HER2"
"HS578T-C"	"Basal"
"BT20-C"	"Basal"
"BT474-C"	"Lum/HER2"
"BT483-C"	"Lum"
"BT549-C"	"Basal"
"CAL148-C"	"Lum/HER2"
"EFM19-C"	"Lum"
"HCC1143-C"	"Basal"
"HCC1395-C"	"Basal"
"HCC1419-C"	"Lum/HER2"
"HCC1500-C"	"Lum"
"HCC1569-C"	"Basal"
"HCC1599-C"	"Basal"
"HCC1806-C"	"Basal"
"HCC1937-C"	"Basal"
"HCC1954-C"	"Basal"
"HCC202-C"	"Lum/HER2"
"HCC38-C"	"Basal"
"HCC70-C"	"Basal"
"HDQP1-C"	"Basal"
"JIMT1-C"	"Basal"
"KPL1-C"	"Lum"
"MCF7-C"	"Lum"
"MDAMB157-C"	"Basal"
"MDAMB175VII-C"	"Lum"
"MDAMB436-C"	"Basal"
"T47D-C"	"Lum"
"UACC812-C"	"Lum/HER2"
"UACC893-C"	"Lum/HER2"
"ZR751-C"	"Lum"
