600MPE	BCK4	CAMA1	HCC1187	HCC2185	HCC2218	IPH926	MDAMB134VI	MDAMB330	MDAMB453	MDAMB468	OCUBM	SKBR3	SUM44PE	UACC3133	WCRC25	ZR7530	chrom
ns	ns	ns	ns	ns	ns	ns	ns	Low	Low	ns	ns	ns	ns	ns	ns	ns	1
ns	ns	ns	ns	ns	ns	ns	ns	Low	ns	ns	High	ns	ns	ns	ns	ns	10
High	ns	ns	Low	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	11
ns	ns	ns	ns	Low	ns	High	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	12
High	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	High	ns	ns	ns	ns	ns	13
ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	High	ns	ns	ns	ns	14
ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	15
ns	ns	ns	ns	ns	ns	Low	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	16
ns	ns	ns	ns	ns	High	ns	ns	ns	ns	ns	ns	High	ns	ns	Low	High	17
ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	18
ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	19
ns	ns	ns	Low	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	2
ns	ns	ns	Low	High	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	20
ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	21
ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	22
ns	ns	ns	High	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	3
ns	ns	ns	ns	ns	ns	Low	ns	ns	ns	ns	ns	Low	ns	ns	ns	ns	4
ns	ns	ns	ns	Low	ns	ns	ns	ns	ns	Low	High	ns	ns	ns	ns	ns	5
ns	ns	ns	ns	ns	ns	ns	ns	ns	High	High	ns	Low	ns	ns	ns	ns	6
ns	ns	ns	ns	ns	ns	ns	ns	ns	Low	ns	ns	ns	Low	ns	ns	ns	7
ns	ns	ns	Low	High	ns	ns	High	ns	ns	ns	ns	High	ns	ns	ns	High	8
ns	ns	ns	ns	High	ns	Low	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	9
ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	Low	ns	ns	ns	ns	X
